text,label,category
"What is the chemical symbol for water, and what two elements does it consist of?",0,factual
"In computing, what does the acronym 'CPU' stand for, and what is its primary function in a computer?",0,factual
"What is photosynthesis, and in which cellular organelle does it primarily occur in plants?",0,factual
Define the term 'gravity' and briefly explain how it keeps the moon in orbit around the Earth.,0,factual
"What is a prime number, and why is the number 1 not considered a prime number?",0,factual
"What is the capital city of Japan, and on which island is it primarily located?",0,factual
What is the freezing point of water on the Fahrenheit scale?,0,factual
"Explain what an amphibian is, and name two distinct examples of amphibian animals.",0,factual
"What is the largest planet in our solar system, and what is its primary gaseous composition?",0,factual
"Define the term 'renewable resource' in environmental science, and provide one common example of it.",0,factual
"What is the human body's largest organ, and what is its primary function?",0,factual
"What does the acronym 'HTTP' stand for in the context of web browsing, and what is its basic purpose?",0,factual
Explain the concept of an 'ecosystem' and briefly describe its two main components.,0,factual
"In basic economics, what does the law of 'supply and demand' explain?",0,factual
"What is a synonym, and how does it differ from an antonym?",0,factual
"In geography, what is the fundamental difference between weather and climate?",0,factual
What is the primary function of red blood cells in the human body?,0,factual
What is the boiling point of pure water at sea level in degrees Celsius?,0,factual
"Who wrote the play 'Romeo and Juliet', and in which century was it likely written?",0,factual
"What is the Great Barrier Reef, and off the coast of which country is it located?",0,factual
Explain what a 'habitat' is in biological terms.,0,factual
"What is the pH scale used to measure, and what does a pH value of 7 indicate?",0,factual
"What are the three primary states of matter at ordinary temperatures, and how do their particle arrangements differ?",0,factual
"What is a volcano, and what geological process causes it to erupt?",0,factual
"What is the fastest land animal in the world, and what is its top approximate speed?",0,factual
What is the primary function of the mitochondria in eukaryotic cells?,0,factual
"Define the term 'metamorphosis' in biology, and give an example of an insect that undergoes this process.",0,factual
What is the geographical difference between a peninsula and an island?,0,factual
"In basic physics, what is friction, and how does it typically affect moving objects?",0,factual
"What is the biological definition of a 'mammal', and what are two defining characteristics of mammals?",0,factual
"What is the definition of a prime number in mathematics, and can you provide a brief example?",0,factual
How does a basic mercury or digital thermometer measure and display temperature?,0,factual
"In computer networking, what is an IP address and what is its primary function?",0,factual
Explain the biological concept of photosynthesis and why it is essential for plants.,0,factual
"What does the acronym HTTP stand for, and what is its basic purpose when browsing the web?",0,factual
What is the biological difference between an herbivore and a carnivore?,0,factual
"In physics, how does a simple lever work to help lift heavy objects with less effort?",0,factual
"What is the definition of a noun in English grammar, and what role does it play in a sentence?",0,factual
Explain the concept of gravity and how it affects objects on Earth.,0,factual
"In computing, what is a bit, and what are its two possible binary values?",0,factual
"What is the basic, primary function of the human heart in the circulatory system?",0,factual
Define the term 'renewable energy' and provide one common example of its source.,0,factual
"In computer programming, what is a compiler and how does it translate source code?",0,factual
How do permanent magnets physically attract or repel other magnetic objects?,0,factual
"In biology, what is the definition of osmosis and how does it function across a cell membrane?",0,factual
Briefly explain the fundamental economic concept of supply and demand.,0,factual
"What is a URL on the internet, and what specific information does it specify for a web browser?",0,factual
"What are the three standard states of matter under ordinary conditions, and how do they differ in shape and volume?",0,factual
Define the literary term 'metaphor' and briefly explain how it is used in writing.,0,factual
"In mechanics, how does a simple pulley system help a person lift an object?",0,factual
"What is the definition of an algorithm in computer science, and what is its role in problem-solving?",0,factual
Explain the physical process of evaporation and how it turns liquid water into a gas.,0,factual
"In network security, what is a firewall and how does it protect a computer network?",0,factual
"In physics, what is the definition of velocity, and how does it differ from simple speed?",0,factual
What is the definition of an ecosystem in environmental science?,0,factual
How does friction affect the movement of objects sliding across a surface?,0,factual
"What is the economic concept of inflation, and how does it affect the purchasing power of money?",0,factual
What is an Operating System (OS) and what is its main function in a computer system?,0,factual
Define the environmental term 'biodiversity' and explain why it is important for an ecosystem.,0,factual
"What does the acronym 'HTTP' stand for, and what is its fundamental purpose when a user visits a website?",0,factual
"In the study of basic physics and states of matter, what is the definition of 'sublimation', and what is one common everyday example of this process occurring?",0,factual
Explain the basic mechanism by which a submarine is able to dive underwater and then resurface. What specific internal component is primarily responsible for this change in buoyancy?,0,factual
"Explain the mechanism of the Quantum Zeno effect, detailing how the continuous measurement of a quantum system inhibits its evolution and freezes it in its initial state, including the mathematical basis of the survival probability.",1,factual
"Detail the biochemical cascade of long-term potentiation (LTP) in the hippocampus, specifically focusing on how postsynaptic depolarization relieves the magnesium block of NMDA receptors, leading to calcium influx and subsequent AMPA receptor trafficking.",1,factual
"Explain how the Burrows-Wheeler Transform (BWT) assists in text compression, detailing the mechanism by which it clusters similar characters together and how this interacts with the Move-to-Front (MTF) transform and entropy coding.",1,factual
"Describe the geophysical mechanics of slab rollback in subduction zones. How does the retrograde motion of the subducting slab induce back-arc extension, alter mantle flow patterns, and modify the stress regime of the overriding plate?",1,factual
"Explain the physics of the Eddington Limit, deriving the balance between outward radiation pressure and inward gravitational force on ionized hydrogen, and detail how this limit constrains the maximum accretion rate onto a supermassive black hole.",1,factual
"Describe the thermodynamic principle of Gibbs phase rule. Apply it to explain the behavior of a minimum-boiling azeotrope during fractional distillation, specifically why the vapor and liquid compositions become identical at the azeotropic point.",1,factual
"Detail the mechanism of V(D)J recombination in vertebrate adaptive immunity, focusing on the enzymatic roles of RAG1 and RAG2, the strict enforcement of the 12/23 rule, and the generation of junctional diversity via P-nucleotides and N-nucleotides.",1,factual
"Explain the microscopic physical mechanisms behind the Casimir effect. How do the boundary conditions imposed by two uncharged, perfectly conducting parallel plates on quantum vacuum fluctuations generate a macroscopic attractive force?",1,factual
"In the context of lambda calculus and compiler design, explain how De Bruijn indices resolve the variable capture problem during alpha conversion, and detail how they simplify the evaluation of beta reduction.",1,factual
Explain the mathematical mechanism of the Diffie-Hellman key exchange. Detail how the computational intractability of the discrete logarithm problem in finite cyclic groups ensures that the shared secret remains secure even if public parameters are intercepted.,1,factual
Detail the mechanism of work hardening (strain hardening) in crystalline metals at the microscopic level. How do dislocation pile-ups at Lomer-Cottrell locks and the activation of Frank-Read sources lead to an increase in yield strength?,1,factual
"Explain the molecular mechanism of RNA interference (RNAi) in eukaryotic cells, distinguishing between the siRNA and miRNA pathways, and detailing the specific roles of Dicer, RISC, and the Argonaute slicer activity.",1,factual
"Describe the physical mechanism behind the formation of a nocturnal low-level jet in the Great Plains. How does radiative cooling decouple the boundary layer, leading to inertial oscillations and a wind maximum above the surface?",1,factual
"Explain the mechanism of the Bélády anomaly in operating systems. Specifically, why does the First-In-First-Out (FIFO) page replacement algorithm occasionally result in an increased number of page faults when the number of available physical frames is increased?",1,factual
"Explain the mechanism of olefin metathesis via the Chauvin pathway, detailing the [2+2] cycloaddition that forms the metallacyclobutane intermediate, and how the Grubbs catalyst facilitates the exchange of alkylidene fragments.",1,factual
"Explain the microscopic origin of superconductivity according to BCS theory. Detail how electron-phonon interactions overcome Coulomb repulsion to form Cooper pairs, and how this leads to the opening of an energy gap at the Fermi level.",1,factual
Describe the convergence-projection theory of referred pain. How does the anatomical convergence of visceral and somatic afferent neurons onto the same second-order neurons in the dorsal horn lead to the misinterpretation of pain origin by the brain?,1,factual
